epoch,pearson_cosine,spearman_cosine
1,0.14545473109545834,0.14960354633923523
2,0.1743081106205131,0.17435921953013697
3,0.18891550942603993,0.18607225586648182
4,0.19445916958216763,0.19002061777469484
5,0.19662937628928387,0.19158638676124562
6,0.19745453311984815,0.19275262105038857
7,0.1976960679099419,0.19333513608668043
8,0.19765893291412281,0.19409194256314427
9,0.1969776016673522,0.19441656909667163
10,0.19557408408900814,0.19470067112511755
11,0.1927639846027517,0.19330576367408267
12,0.18823639475302847,0.1907726388756895
13,0.18268036790120198,0.18622193940305148
14,0.17885146216914333,0.18319802363836615
15,0.1744007598958801,0.1786398138102788
16,0.16732544184436834,0.17105167295218113
17,0.17068125492774944,0.17328002670740245
18,0.17486863368908784,0.1756384058420563
19,0.1713181763542099,0.17200329490756622
20,0.16907367513693866,0.1717924232078548
21,0.16884475900892323,0.1707626318906008
22,0.1774103790065757,0.17900938612707612
23,0.17426890483997404,0.17889881345006178
24,0.16731358064951107,0.1708895982017408
25,0.1607723414159487,0.16624605188714198
26,0.16093663697828375,0.1658152332324898
27,0.16674577587696793,0.1741776969731381
28,0.16983396570702305,0.17624629087069096
29,0.16826606537037264,0.17494982666900824
30,0.16157068830973675,0.16688975508657566
31,0.1597380804747988,0.16695563213158593
32,0.1656152503552849,0.17259658390070717
33,0.16175172384555273,0.16907822961522415
34,0.1556020038302705,0.16376377760538913
35,0.1557839979670064,0.16247859348055865
36,0.14914999333285073,0.15656939229228617
37,0.13961101820980878,0.15020386865517882
38,0.13623010896934953,0.14639779969157207
39,0.13519233651085003,0.14315066755307504
40,0.1430268495139436,0.15008943317722073
41,0.14935186883240154,0.1558612256933683
42,0.15725553237941903,0.16075715718288108
43,0.1500340687599112,0.15535634813346247
44,0.14230244269700432,0.1486951423781438
45,0.1436730280565807,0.15086159777791872
46,0.1361589482008825,0.14549091409049014
47,0.13132106601002028,0.144030845143415
48,0.135208897840222,0.14783253936860352
49,0.14219429301303274,0.15614887637930774
50,0.13793671612468544,0.15310262734229868
